transaction_hash,sender_wallet,receiver_wallet,crypto_amount,crypto_type,timestamp,high_risk_wallet_flag,rapid_transfer_flag,mixer_flag
5d31023c9e9f71c42407d5ccd3c12a0ed83480c92bc11a63ca721c44e1f8502a,0x766dbb46058090a3c94ec3eec92ac5f11d816c1f,0x1b57c839a6128b77fc03a3a999e7bb2b3230026f,4.694356,BTC,2026-02-28 02:28:18,0,0,1
7260e0925e5567cb464f65a385cdd735ad71bd7d84e5d04eb1595755d95d9623,0xe78cd0149cbeb0f636a4ad3cd368e453f59837f6,0x19f0ad1142cf33dfbde0beb11d84a8d69c8ca3b8,2.257603,ETH,2026-03-11 16:56:37,0,0,1
03fb4999a26530ebc7ae5b1b54b7759fb9a8ad6e86a278e77c9b6467ac2d9cb6,0xd9a4a0e20e8f5c7ddcf70a473f99ffe1d1c141e0,0x79c83ec09291117c2e3d93d839ef97a815658525,2.758143,USDT,2026-03-10 16:31:52,1,0,1
f8352ef98f7ed1033e8c7ada1b4f3236f8f7d6be5a4e62f16ac25e4dce4c464d,0xf95b85fab81c4468f65e7fcffb893ef1adcfb257,0xe03892e7576f415253b7c158f3c53d0505be9e1f,1.145217,USDT,2026-03-21 07:08:21,1,0,1
e96b8cfa8e4996138a01c38a69bd4240156679751b9fe75c77ae00995a870007,0x2689165c82bc82b56f64716fedbad0d4ef86d1e5,0xcb9bbfc547fdeb23a044399cff8bcfed5c825226,3.382144,USDT,2026-03-02 20:51:06,0,1,0
27586032cb1441437a69fb498ab153ff5831cd2db2eac9caec75c428231b0db9,0xa150963e708c4129291791af023e6310ee5ab7c6,0xde5be12185255516e76091e66700992400dcd998,4.552082,ETH,2026-03-28 20:15:53,0,0,1
5c800c4844c8c614a8e8e274335fda9b628c2d74f34c2a0ec40c0821356f5c83,0xf49bdbe263d93d43ad393def411caef35d3de2be,0xb964d112c06480cf08240dc87d026385f6bfa9f9,3.198513,BTC,2026-03-08 20:28:36,1,1,1
a140573e4df7b385b97dd3f856608ed5cee829bc87040edb7daf50ed460ebc47,0xe8c6f6fde4568b4c4ac77fd9fe9b221b885d1df2,0x84c86a7ff49463643b37e02a6fd8e5532bbc097e,2.61557,ETH,2026-03-09 19:42:11,0,1,0
b656372a81db2c8a1052abb735f027572d77022bec9f1d6daa80fe5b86154f35,0x08d2920c0a81aecdc92792e85ed20d85e9395ab3,0x204d666e7d7e2f7d2c2bd41806bfb45669f142b9,1.687315,USDT,2026-03-13 13:07:37,0,0,1
a2992d1a4bcaea4cae0f7066dfb9005775eb5332fad23dd4846bb19cf8da7e39,0x280fe090aa1e70c31678779c505b00ee37685117,0x668f384d86fa2ea902e24e7e0e80eb49981f90f3,3.591116,ETH,2026-03-08 03:33:30,1,0,0
cef7e6b11c63a4dfc1d67f04283d05ef1eaa5464179e4a7562e7f1c6a32eeb58,0x23796eef0b68cc65d8f7f007035dde85ff53e267,0x054cdb0cb65fc091a748362e9504a7d1a9675f42,0.970468,USDT,2026-03-17 23:02:36,0,0,1
6c0f281a66608718d8c820647477a8223b293fb5a4e91bc4c5ff8d028ea5cead,0xb1ee2b0f76ef53d47a227e9faa4ddb1549dc9bb3,0x0d4cd56c381ddb07a389d3f9bf9f819db0e6bd26,0.604015,USDT,2026-03-02 13:27:16,0,1,0
b555d8860686f01c06db545bcc6a3ce4c760a6b272129d49123faa7c0003d71d,0x6adea51bd91782721623cfbc400f65de0eef2804,0x760cac1b56909e666c0b0d738b43db5c6d41413c,4.205619,USDT,2026-03-07 23:13:30,0,1,0
fb3f54df4e83fe2b141fa8176fa9b2a6aff99f235dc1065a47a50b0fea51570b,0xf4b7deef3815fd0a4564d29dfe68bb4ddbfa4e56,0x5c385010cb8d17c9c4de528af131e7af1dda92e8,3.235983,BTC,2026-03-03 10:39:05,1,0,0
a7acf4f1ae77ec983a2c96b48c1579d3ef51dddd6b1358d93bb9bac0ca0e06e8,0x4ca4a8d78dd88b2c62794bfe8e7a423dc204185a,0x4f629e71b4c558a62bd7c8f028992335741b1516,0.527658,BTC,2026-03-02 23:23:26,0,0,0
7093e9f75a128c61ed5af43d363f2a489ea78024906901cf897b624380d026b3,0x960eaed05a4071138cb1424940b4cdcfafc63d28,0x55cc7c2a7574555a13e1a9d8343e5de7744dab98,1.405779,ETH,2026-03-09 17:37:51,1,0,1
c3b349818c3759fc9bb69416f21563b1adf4f6db99664186534c1c3d4e89e04e,0x7a5e3b0e49086e32cbc348aa3b0af01a8edda842,0xf113229ca649979435aeefd91756643e1d2c0a62,0.982956,ETH,2026-03-13 13:08:41,1,0,1
13288791e27cb2a70bac361d512439d1fc8f9d812b2ce3899c317813c11c2a31,0x65d05faea80ee1ffb00b3613a1c4d7e741ebd379,0xb837a1a0805ae2d038423635f1552b46432e0785,2.915905,ETH,2026-02-28 17:16:25,1,1,1
bb5394b17860249bb1502e03b6eec0d3847e761a511ee25acd9bd85b6a98b925,0xe4a8ee8c3918e72a6adbc3a4b32b52c664f5e683,0x0175939d609a3966fd6351b55d59e40a0f5c440b,2.379488,USDT,2026-03-21 05:41:49,1,0,0
b34587210034180aab6c88c974714fd3f2d2d6cac5ccec395b2ca63ed23ce33b,0xd20019d6711cdc55ae68d9de51b51e824284b7b5,0xc98673590ee5de27a9be486b5aff318fd00622b9,2.226916,BTC,2026-03-16 18:11:05,0,0,0
060a8a38009d19d75316ca6e9fc8aedd4c0a0b5e705509026f398aaa1977dae4,0x7826c39de80bc4fb4c854df9576f59251057133f,0x7a8ae677ec62866fa984358487709f0808b4aa2b,3.863742,USDT,2026-03-10 05:37:47,1,0,1
b43d5417b13fc79aa394c28f0c86f4b21db0b4c5eb7785cbb2d1e3cd3aece75a,0xc0f6ece90abf38424a838a7312a1e476931cfbbd,0xb24024be51eb220b6a24eafe1f7abb76978d3a10,0.825031,BTC,2026-02-27 15:24:44,1,0,0
5e829453b91189d4c29187ea70c2bf4ace508af5899cf2201e2deaa1ecb87077,0x4abee1b2e55a70ec469308474c32f851af0b8e1c,0xd7bfc746a8b3d3976e643db5597db4815574401a,2.793111,ETH,2026-03-08 14:59:28,0,1,0
2484074c13da42aa3d2dd209d39a78e6031a13b1592af2862a155734c0ac7d54,0x94cb0b23cf9a3c7d12b3f2459a824aadd2d9cab7,0x57b5933c7934d28b06ee062f14cc9fe106b3ec0e,4.166593,USDT,2026-02-28 13:35:22,0,1,1
77a6d3617638b56dd10d13f712709b8b4f4d6f31849c212401365838537d2f55,0x8e98f71d6eaae2e6864fcb95960c4f5c39bbd9d0,0xb1177f48d5f7e217e1bfbf4caaa89495821a7728,1.483042,USDT,2026-03-01 01:40:18,1,1,1
cac98b5d08599585028506ff7d56978f127b01928454feec006d676bc94bcae6,0x5734f19dddbb74045e62faa5c3a2f0415039455f,0xc33c5083157809d255f89fd33bec1db3effd844e,0.301619,ETH,2026-03-07 03:36:14,1,0,0
d1952ee01accfdb12613ee20d53b60a855ee05f8b38045231e4eed21905d703e,0xb7c8bcbc8c624b2cb4f3a75fa64ad7a15bd9ed7e,0xafb576747dbaea8b610cd3dda399ba760364b6c7,2.005754,BTC,2026-03-11 05:17:28,0,0,0
29add4772f454d21b860c0f065a2636277ba119d213b852492e9992b9a2ce9ac,0xe89967537e24309450194a05052f3023f6e98b97,0x1c10d72ff461969e62e474b34b01d108f72ff554,3.847421,BTC,2026-03-21 11:17:10,0,1,0
ab6dd4caf7384ef14d3d5ed153689351b689b38c1eee33064d16f068be9cf88b,0xe15f3c9aa55906d4dea189c673273b132707e1c9,0xbad3112bd3db4db8b2ccff6492f034a5f29d6520,2.921569,BTC,2026-03-02 19:45:00,1,1,0
615070cf7b7fe445cbcd2b53b19f48ac91a662041efdf6ff6d15dc732b5642ae,0x89bc7a387fcf3286f7c0cfd768f353948bce5ffd,0x7a6dba3a9c6616a09c4b78856dd0a70cb3749883,1.773482,BTC,2026-03-22 20:20:15,1,0,1
1fc54352864922eb1e8ff8892ebde1f9ea022af23930aef94775bd3f7151c4f2,0x113379ea926323d9962aedd7f979ad3804a1278b,0xc4169bfa93873a1b73a6499b6c4446760bbd5567,2.847477,BTC,2026-03-26 12:25:16,1,0,0
98f751ac3f240073a49be6b34f3b979921f84b13d447ff672f87e74d61b0671f,0x00c1376f713dd344e724141c8b52f9e242e6c5e4,0xfa60530ea8bb7593b8bc218637bec1386afecf6d,1.315398,BTC,2026-03-16 20:05:45,1,1,1
2d62d1dd7375f36d9c9e6abdfabbb40eeea6681721e2f7c3536c5efdd309e32d,0xf11141a2370855bc708bb54d0118c90c2945f20d,0x38d348909eea5a37893a4910c8ec55f72308cfe1,1.800212,ETH,2026-03-19 21:58:12,1,0,0
07ffff0d967d25bd1440a7036bff0a21c8abf2c0032a47a9ec8c76376fef5fdc,0x03f328e4fe5537125d89a21eaf8da8c9362bebf8,0xded606de800ca9825ab96c4593e6499cedc25efd,2.337313,BTC,2026-03-28 05:52:59,1,0,0
a82a2c56c8c0fbe5e9d1178206abb461169ec4189d2a2ab2073bea07a059ccb0,0x65e0bac22ccadde3757b2e66b8ce7a4ace691891,0x7541d24538864a56911da97a5668dd0c747a3820,4.756271,USDT,2026-03-24 11:00:05,0,0,0
b7ec7ab3f68146e0da7ba1ef3377a722a3ebe0b66f68c45fb98b9a172a67cc25,0x4f9411824440da982c9306ce99494b93e7f78b07,0x3cb1b209dd611e00d9535850a99b8ae8c7e293fc,3.172915,ETH,2026-03-16 13:24:26,1,1,1
f872efcec3bdb9fa81032df494627184ddd95fb6e7100d6dd770c755d246ca06,0xcfd4d2eff4b381c1f8280377df1a0ea9554120cb,0x23e749c408fb0bf48ca0a546767beb76c48e1fcf,4.926179,BTC,2026-03-11 04:59:32,0,0,0
1f1f84c3d1b89aaf1964b3f12fdd0de8dacbec8827758d01456fea79c4b38494,0xe47849e05ee09f080048e5127b91b8ed3f7ba402,0xfb2a338a45bf6f73dcd057afb7946375dbbb6080,4.16736,BTC,2026-03-01 16:37:39,1,0,1
025c9e9a3135f8a7a92a99d51d02fc83de2441ace1870f776ed3749b8982061e,0xf5a867b581133565abf996945615f10adadb6c31,0x978762f23f1c4b6df1b09b5034a51abaffedad12,0.990419,USDT,2026-03-01 00:57:43,1,0,0
d98cfda69674a4bc6f8e2b27a5ef5b73e2dc89da51a09c0b7d6a608b94ebaa32,0xca7d6f246c68daed1e12d97cfc6129c80db9e818,0x3b4ef2421495eacbace550130750d46750657b3e,0.567375,ETH,2026-03-13 02:44:40,1,0,0
0b46e73d2ab1b8bfa5f8c25bdbf01045c35547d16874beeff2f818c212aeef09,0x462bba8e1e2cf996781c78f710590375bd5cc288,0xb6033c8de3b19261dcc1cfef096e49d3c9e85c1c,0.534501,ETH,2026-03-02 05:49:04,1,1,0
d314e759e19ed10e6c816b8a5052afae826958817657069d46b17f70feeacc68,0xba02824da9ce51b934729d6db13ce67011f3f529,0x3f9baacdd14effb5a77207c9e9036c31fff1e9d5,2.01755,ETH,2026-03-26 02:27:58,1,0,1
7de3efa8b38aa1e9463416c64206f66f2e8a130f44ba19d22135bd5208d9ae11,0x0bc24b0083f2c50a3bcfa577fc72cae4c13289f7,0x0b48fd0eda6a5ddd5e62bd9e2d801fea0a969a4c,1.892498,ETH,2026-03-27 16:39:26,1,1,1
5c92a9f63d84fec013e8bee8a2f063d32163a6ba257dde18552fd260fd27ba3d,0x263ffc5111ee2798d2e2a71ef7fc276a58e40a2d,0x763cc00ef02bdee45748eb3451c7acda9b49a27b,3.695185,BTC,2026-03-07 01:33:00,0,0,1
266ea0ad094e35dbbf7f58ccf4f384a5ef9f7d65d49074e62bdd7d947dbbbf9d,0xd9d13b87116dbae5214c98b785ff1a3db68f9769,0xf44e36bea430dc6270bb8e550b6f2f618b0d5020,1.537228,ETH,2026-03-01 18:16:42,0,0,1
fbdc0ed036d5c7c93dcccc403fc9d6d2dcedcd81ab6f6a42262fe5af99971842,0x70dabf512710b78420a6c8e90fe525661034dcc9,0x486647038a8a6906527d24007cc8166cd5f9741f,4.085084,BTC,2026-03-12 03:27:42,0,1,1
5f29b93c5f1a814103feb5734b5ab450594dfb00d4449e206a3985be6c36c4d5,0x8219457ff8658ff4583602352bdf6ea523871f9c,0x5b9395f6cc73c0115ee9bb7322aac2ea7e0bd7b7,4.103767,BTC,2026-03-23 18:53:49,1,0,0
