customer_id,kyc_monthly_income,pep_flag,adverse_media_flag,total_txn_amount,avg_txn_amount,txn_count,unique_countries,high_risk,exception_count,avg_change_frequency,verified_ratio,label
CUST-0,132679,0,0,2058673.05,205867.305,10.0,3.0,1.0,2.0,3.0,0.5,1
CUST-1,30631,1,1,2591377.2800000003,215948.1066666667,12.0,6.0,1.0,1.0,2.0,0.0,1
CUST-2,45386,0,1,815844.78,135974.13,6.0,4.0,1.0,2.0,1.0,0.5,1
CUST-3,192774,1,0,2421268.3200000003,302658.54000000004,8.0,4.0,1.0,1.0,4.0,1.0,1
CUST-4,111255,1,1,4154403.69,259650.230625,16.0,3.0,1.0,3.0,2.6666666666666665,0.0,1
CUST-5,163081,0,0,2328144.41,258682.71222222224,9.0,2.0,0.0,1.0,3.0,0.0,1
CUST-6,58504,0,1,2204678.8,220467.87999999998,10.0,3.0,1.0,4.0,2.25,0.75,1
CUST-7,109388,1,1,1661264.96,103829.06,16.0,4.0,1.0,1.0,2.0,0.0,1
CUST-8,193433,1,1,3016503.52,274227.5927272727,11.0,4.0,1.0,2.0,2.5,0.0,1
CUST-9,36846,0,0,2052918.63,186628.96636363634,11.0,4.0,1.0,2.0,3.5,0.5,1
CUST-10,75229,0,0,1846736.77,184673.677,10.0,3.0,1.0,3.0,3.0,0.0,1
CUST-11,125973,1,0,2344648.45,180357.5730769231,13.0,6.0,1.0,2.0,4.0,1.0,1
CUST-12,179936,0,1,2201571.87,200142.89727272728,11.0,4.0,1.0,5.0,3.4,0.6,1
CUST-13,63086,0,1,2674102.81,191007.3435714286,14.0,4.0,1.0,4.0,2.5,0.75,1
CUST-14,62125,1,1,1543851.51,257308.585,6.0,4.0,1.0,1.0,5.0,0.0,1
CUST-15,10972,1,1,2281246.92,325892.41714285716,7.0,4.0,1.0,1.0,3.0,0.0,1
CUST-16,127759,0,1,1506215.25,251035.875,6.0,4.0,1.0,0.0,0.0,0.0,1
CUST-17,189927,0,0,1999361.33,249920.16625,8.0,2.0,1.0,0.0,0.0,0.0,1
CUST-18,128926,0,0,1320998.65,264199.73,5.0,3.0,1.0,2.0,1.5,1.0,1
CUST-19,28366,1,1,2029552.12,225505.79111111112,9.0,3.0,1.0,1.0,1.0,1.0,1
CUST-20,106367,1,0,4196126.600000001,220848.76842105266,19.0,5.0,1.0,2.0,4.0,1.0,1
CUST-21,137213,0,0,530819.37,132704.8425,4.0,2.0,0.0,1.0,5.0,1.0,1
CUST-22,33453,0,1,3267805.27,272317.10583333333,12.0,4.0,1.0,2.0,2.0,1.0,1
CUST-23,130593,1,0,2278435.2,284804.4,8.0,4.0,0.0,2.0,5.0,0.0,1
CUST-24,43314,0,0,2058758.14,294108.3057142857,7.0,3.0,1.0,3.0,3.0,0.3333333333333333,1
CUST-25,113954,1,1,1597761.96,159776.196,10.0,2.0,1.0,1.0,3.0,1.0,1
CUST-26,185100,1,0,1352465.78,193209.39714285714,7.0,2.0,0.0,1.0,2.0,1.0,1
CUST-27,184197,0,0,2391649.81,265738.8677777778,9.0,4.0,1.0,1.0,3.0,1.0,1
CUST-28,18630,1,0,3716170.62,285859.2784615385,13.0,4.0,1.0,2.0,2.5,0.5,1
CUST-29,24567,0,0,1953824.79,244228.09875,8.0,1.0,0.0,3.0,2.0,0.3333333333333333,1
CUST-30,173721,1,1,1910126.97,146932.84384615385,13.0,7.0,1.0,3.0,2.3333333333333335,0.6666666666666666,1
CUST-31,91962,1,0,4201455.89,247144.46411764703,17.0,5.0,1.0,1.0,2.0,1.0,1
CUST-32,27502,1,0,3121334.87,346814.98555555556,9.0,3.0,0.0,1.0,1.0,0.0,1
CUST-33,101355,1,1,2048270.91,157559.30076923076,13.0,5.0,1.0,5.0,2.8,0.2,1
CUST-34,185499,1,1,3939776.15,358161.4681818182,11.0,5.0,1.0,4.0,2.5,0.5,1
CUST-35,173838,0,1,2992190.54,272017.32181818184,11.0,4.0,1.0,2.0,2.0,1.0,1
CUST-36,182811,0,1,5004115.46,333607.6973333333,15.0,2.0,1.0,3.0,3.0,1.0,1
CUST-37,106603,0,0,1180876.25,196812.70833333334,6.0,3.0,0.0,0.0,0.0,0.0,1
CUST-38,161680,0,1,1473404.98,245567.49666666667,6.0,3.0,1.0,2.0,2.5,0.0,1
CUST-39,161762,1,0,4218622.9,383511.1727272728,11.0,2.0,0.0,2.0,2.5,0.5,1
CUST-40,49782,1,0,2863275.21,238606.2675,12.0,4.0,1.0,0.0,0.0,0.0,1
CUST-41,197001,1,1,3693922.1100000003,307826.8425,12.0,3.0,1.0,0.0,0.0,0.0,1
CUST-42,170732,0,0,1802764.27,200307.14111111112,9.0,4.0,1.0,2.0,3.5,0.0,1
CUST-43,65517,1,1,2099298.58,139953.23866666667,15.0,2.0,0.0,2.0,2.5,0.5,1
CUST-44,157829,1,0,1837090.62,204121.18000000002,9.0,3.0,1.0,3.0,3.6666666666666665,0.0,1
CUST-45,83559,0,1,2957582.27,211255.87642857144,14.0,4.0,1.0,2.0,2.5,1.0,1
CUST-46,138228,0,0,2727053.74,247913.97636363638,11.0,5.0,1.0,3.0,2.3333333333333335,0.3333333333333333,1
CUST-47,105148,1,0,2669067.13,190647.65214285714,14.0,5.0,1.0,1.0,5.0,0.0,1
CUST-48,151034,0,1,1076765.1400000001,215353.02800000002,5.0,3.0,1.0,5.0,2.8,0.6,1
CUST-49,64144,0,1,1334760.58,190680.08285714287,7.0,4.0,0.0,2.0,5.0,0.0,1
CUST-50,132056,0,1,929843.99,232460.9975,4.0,3.0,1.0,3.0,2.6666666666666665,1.0,1
CUST-51,35457,0,0,2288119.33,228811.93300000002,10.0,2.0,0.0,1.0,1.0,0.0,1
CUST-52,144585,1,1,2226612.09,247401.34333333332,9.0,4.0,1.0,3.0,3.0,1.0,1
CUST-53,199273,0,1,2255696.71,225569.671,10.0,4.0,0.0,3.0,2.0,1.0,1
CUST-54,46802,0,0,3079772.27,307977.227,10.0,3.0,1.0,1.0,5.0,0.0,1
CUST-55,109168,1,1,2967771.64,296777.164,10.0,4.0,1.0,2.0,3.0,1.0,1
CUST-56,80835,0,0,2947337.87,196489.19133333335,15.0,5.0,1.0,1.0,4.0,1.0,1
CUST-57,54150,1,1,2955056.76,492509.45999999996,6.0,2.0,1.0,0.0,0.0,0.0,1
CUST-58,183515,0,1,1742314.3399999999,145192.86166666666,12.0,5.0,1.0,1.0,4.0,1.0,1
CUST-59,134545,1,0,1239058.09,177008.29857142858,7.0,2.0,0.0,7.0,3.0,0.42857142857142855,1
CUST-60,25627,0,1,2665774.9,266577.49,10.0,2.0,1.0,8.0,4.0,0.625,1
CUST-61,161550,0,0,955561.01,318520.33666666667,3.0,3.0,1.0,0.0,0.0,0.0,1
CUST-62,65758,1,0,4379236.1899999995,243290.89944444443,18.0,3.0,1.0,3.0,3.0,0.6666666666666666,1
CUST-63,185444,1,0,3864682.54,276048.7528571429,14.0,5.0,1.0,3.0,1.3333333333333333,1.0,1
